Field Name, Offset, Size, Type, Levels, Survey SubSection, Description, Derived Field
"ssbfrut1","251","3","integer","","module 5: sugar sweetened beverages and menu labeling","how often did you drink sweetened fruit drinks, such as kool-aid, cranberry juice cocktail, and lemonade?","0"
"ssbsugr1","248","3","integer","","module 5: sugar sweetened beverages and menu labeling","how often did you drink regular soda or pop that contains sugar?","0"
"stopsmk2","147","1","categorical","7","tobacco use","stopped smoking in past 12 months","0"
"tnsarcnt","305","1","categorical","7","module 12: tetanus diphtheria (adults)","was most recent tetanus shot in 2005 or later?","0"
"tnsarcv","304","1","categorical","7","module 12: tetanus diphtheria (adults)","received tetanus shot in the past 10 years?","0"
"tnsasht1","306","1","categorical","8","module 12: tetanus diphtheria (adults)","did tetanus shot included the pertussis vaccine?","0"
"useequip","144","1","categorical","7","disability","health problems requiring special equipment","0"
"usenow3","150","1","categorical","8","tobacco use","use of smokeless tobacco products","0"
"vegetab1","280","3","integer","","module 8: fruits and vegetables","how many times did you eat other vegetables?","0"
"veteran3","110","1","categorical","7","demographics","are you a veteran","0"
"vhcombat","369","1","categorical","7","module 20: veterans health","ever serve in a combat or war zone?","0"
"vhcounsl","372","1","categorical","9","module 20: veterans health","receive psychological or psychiatric counseling or treatment past 12 months?","0"
"vhdrptsd","370","1","categorical","7","module 20: veterans health","doctor diagnosed depression, anxiety, or post traumatic stress disorder (ptsd)?","0"
"vhdrtbi","371","1","categorical","7","module 20: veterans health","doctor diagnosed traumatic brain injury (tbi)?","0"
"vhsuicid","374","1","categorical","9","module 20: veterans health","attempt to commit suicide in past 12 months?","0"
"vhtaklif","373","1","categorical","7","module 20: veterans health","thought of taking your own life in the past 12 months?","0"
"victrct4","245","1","categorical","9","module 4: visual impairment and access to eye care","hlth care pro said now have cataracts","0"
"vidfclt2","238","1","categorical","12","module 4: visual impairment and access to eye care","difficulty recognizing friend across street","0"
"vieyexm2","243","1","categorical","11","module 4: visual impairment and access to eye care","when last eyexam","0"
"vigluma2","246","1","categorical","8","module 4: visual impairment and access to eye care","hlth care pro ever said have glaucoma","0"
"viinsur2","244","1","categorical","8","module 4: visual impairment and access to eye care","eye care health insurance","0"
"vimacdg2","247","1","categorical","8","module 4: visual impairment and access to eye care","hlth care pro ever said have macular degeneration","0"
"vinocre2","241","2","categorical","13","module 4: visual impairment and access to eye care","reason did not use eye doc past 12 mos","0"
"viprfvs2","240","1","categorical","11","module 4: visual impairment and access to eye care","last time visited eye care provider","0"
"viredif2","239","1","categorical","12","module 4: visual impairment and access to eye care","difficulty reading typed text","0"
"weight2","118","4","integer","","demographics","reported weight in pounds","0"
"whrtst8","417","2","categorical","13","module 26: hiv/aids","location of last hiv test","0"
"wrkhcf1","299","1","categorical","7","module 10: high risk/health care worker","do you currently volunteer or work in a hospital, medical clinic, doctors office, dentists office, nursing home or some other health-care facility?","0"
"wtkg3","1639","5","numeric","0","calculated race variables","computed weight in kilograms","1"
